Row,Original Index,Person1,Intelligence1,Determination1,Calmness1,Politeness1,Aggression1,Sophistication1,Incoherence1,Rudeness1,Stupidity1,Articulation1,Unsophistication1,Laziness1,Person2,Intelligence2,Determination2,Calmness2,Politeness2,Aggression2,Sophistication2,Incoherence2,Rudeness2,Stupidity2,Articulation2,Unsophistication2,Laziness2
340,466,"Why does her birthday have to be tomorrow? All I need right now is my bed.I don't believe in birthdays
",2,1,2,3,2,1,3,5,2,3,4,5,"Why the fuck is Senai bday tomar? My bed is the only thing I need right now""hedont believe in bdays lls
",2,3,1,1,5,1,4,5,2,2,5,5
341,467,"That doesn't count if you work from 9:00AM to 5:00PM, because we are all struggling to keep working past10:00PM on a school night",2,3,1,4,2,1,2,1,1,4,1,5,dat don't count if u gotta 9 to 5...cuz we all struggling to stay work past10 on a school nite,2,3,1,5,3,1,3,3,1,3,4,4
342,468,The Dallas Cowboys' season is over.  Their corners are getting cooked like lamb gyro meat on that poleunder that 300 degree lamp,,,,,,,,,,,,,THE COWBOYS SEASON OVER THEY CORNERS GETTIN COOKED LIKE LAMB GRYO MEAT ON THAT POLEUNDER THAT 300 DEGREE LAMP!!,,,,,,,,,,,,
343,469,"I have a new girlfriend who is so nice. I miss her so much.I'll see her soon for sure
",3,4,3,5,1,2,1,1,1,3,2,1,"jus got a new bitch she niccceee""I miss you so much, I'll seeyou later "" fo sho
",1,2,2,4,4,1,4,4,5,2,4,1
344,470,"I'm about to watch the game after getting drunk on tequila, so you know I will bethe loud guy laughing!  Ha, ha
",,,,,,,,,,,,,"I'm bout to watch game off this tequila so u know imma bethe loud nigga laughing! Lol
",,,,,,,,,,,,
345,471,"I'm going to a Washington Wizards game soon, and I am upset that Randy Whittman and Sam Cassell arestill on the team. They are terrible
",,,,,,,,,,,,,"Im goin to a wizards game real soon and slap randy whittman and sam cassel thefuck out this roster terrible
",,,,,,,,,,,,
346,472,The 49ers are going to get some momentum back with this.I have seen those actions from white people before.,2,3,1,4,5,2,1,3,1,3,3,1,This is fuck shit dats gonna get 49ers some wind back...Iseen these liteskin tricks before!,1,2,1,1,5,1,4,5,3,2,5,1
347,473,"All the middle class people will buy that same model of Benz.By the end of the year they will, I bet
",,,,,,,,,,,,,"*sigh* every middle class nigga gonna get dat base model of BenzCLA later this year watch..m
",,,,,,,,,,,,
348,474,"How do I convince another that their relationship should be a “secret” and have the other person agree, though? I’m confused.
",2,4,1,1,4,1,3,4,4,2,3,1,"how do 1 convince another that their RS should be a ""Secret"" and the otherperson agree tho??? im confused",2,4,2,3,1,2,2,1,1,3,2,1
349,476,"All the women in my life have stopped speaking to me. Even my mother and grandmother. They aren't speaking to me either. Women are terrible
",2,3,1,1,5,1,2,5,3,3,4,1,"Females blowin my life lls my mova aint speakin to me and my grandmovaaint speakin to me,,,females terrible
",1,2,1,1,5,1,3,4,2,1,4,1
350,479,"You don't have to pay such a high price for help with your taxes. She is qualified.She went to school and has a degree
",,,,,,,,,,,,,"u aint gotta pay dat high ass price if u use (she like a Master in Taxcuz her degrees say so)
",,,,,,,,,,,,
351,481,"I need to stop letting people eat at my house. Once you feed a squirrel they always come back.
",2,4,1,5,1,3,1,1,1,5,1,1,"I Need To Stop Letting People Eat Out My House. Once You Feed ASquirrel They always Come Back.
",3,4,2,1,3,2,2,4,1,3,3,1
352,482,"I know I'm not ugly but damn! Can a bitch get some type of affection or no?
",2,3,1,1,4,1,1,5,1,3,4,1,"I Know I'm Not Ugly But DAMN! Can a Bitch Get SomeType Of Affection Or Nah?
",2,5,1,1,4,1,3,5,1,3,4,1
353,483,I had to complain to my bank a lot to get my $20 back.They were being really difficult,2,4,1,2,5,2,1,5,1,3,3,1,The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol,1,4,1,1,5,1,2,4,1,2,4,1
354,485,"So I picked up a telemarketer call and the first words out of my mouth were “Now, see? Don’t youwish you stayed in college?”
",,,,,,,,,,,,,"Sooo I picked up a Telemarketer call and 1st words out my mouth was ""now see don't chuwish u stayed in college?""",,,,,,,,,,,,
355,484,"Beloved Lavette, in the love of Christ, I'm suggesting that you check your spiritual temperature, because you're coming across as fake and judgmental
",,,,,,,,,,,,,"Beloved Lavette in the love of Christ, I'm suggesting that you check your spiritual temp because yourcoming off fake and judgemental.
",,,,,,,,,,,,
356,487,"It's just like I predicted. He noticed my bag. I was so confused because he said I should get out
",2,3,1,1,4,2,3,4,2,3,3,1,"aye JUST like i predicted...he say he noticed my bag andsaid ""Gomab"" i was confused
",2,1,2,2,4,1,4,4,5,1,5,1
357,488,"Everything I have, I am grateful for it all. My family, friends, my life, love.. and this list will keep going
",3,3,5,5,1,3,1,1,1,5,1,1,"everything I have. I am greatful for it all. My family, friends, my life, love.. and thislist will keep going 
",5,4,5,5,1,4,1,1,1,5,1,1
358,489,"If you're going to send a text message, please make sure you send more than just one word! I don't need a message with less than five words!You can keep that word to yourself.
",2,1,5,4,1,3,1,2,2,4,3,2,people send those one word text messages. If it is less than 5 words then keep itto yourself lol ;-),1,2,3,4,3,1,4,3,3,1,4,2
359,490,"I only know a few zetas who are cute and slim. That's all I can think of right now. That makes a little bit of sense.
",,,,,,,,,,,,,"I only know a small hand full of cute(and slim) zetas too...so that rs between thetwo makes total sense lowkey
",,,,,,,,,,,,
360,491,"Texting and laughing with an old friend. I missed him so much. Glad to know that he is happyand in a good, faithful relationship.
",3,1,4,5,1,2,1,1,1,4,2,1,"Texting And Laughing With A Old Friend I Missed Him So Much Glad To Know That He Is HappyAnd In Goof,Faithful Relationship ❤❤
",2,2,4,5,1,2,1,1,1,4,2,1
361,494,"Winter this year hasn't been too bad until now. It is so cold outside
",3,1,1,5,1,2,1,1,1,4,3,1,"Chiaaaaa hiver de cet annee la bougo des faoncon il neige pas la cecome sa il fait froid
",2,2,2,3,2,1,4,3,4,1,4,1
362,495,"I don't know who blackmailed the Pope but it must been some guys with a lot of money and powerin the word with a lot of evidence.
",,,,,,,,,,,,,"I don't know who blackmailed the Pope but it musta been some guys with big money and powerin world with crazy evidence.
",,,,,,,,,,,,
363,496,"The fucked up thing about religion is that it is based on interpretation and people's intentionsare often biased and questionable. 
",,,,,,,,,,,,,"The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable.
",,,,,,,,,,,,
364,497,"These children, are the children of parents whose parents were on drugs, and even though I have professional problem solving experience, I don't knowhow to begin to help them
",3,2,1,4,1,2,1,1,1,4,2,2,These Babies are the Crack Babies Babies...and even my professional problem solving ass don't knowwhere to begin 2 help,1,2,1,1,4,1,3,4,5,1,5,2
365,499,"In Wisconsion with my software program developers and military enlisted men.  Oh it feels great to be the coolest guy in the building laughing out lou
",2,1,1,2,4,1,2,5,2,2,5,1,In Wisc with my Geeky Developers and DBAs...awwwwh feel good 2 be the coolestguy in the building lol,2,1,5,4,1,3,1,1,1,4,2,1
366,500,"Are you ever on the train and you see someone who you believe you would have to punch if a fightstarted? No? Okay, never mind
",3,1,2,4,5,2,1,2,1,4,2,1,U eva on train and your eyes lock on the 1 person u know u gotta steal on 1st if shitbroke out? Naw? Ok nvm,2,3,1,1,4,1,4,5,2,2,5,1
367,504,"I see people post on their page and it shows up in my timelineand I get alarmed
",,,,,,,,,,,,,"I see ppl post on they page and it show in my TLand I get freaked out.
",,,,,,,,,,,,
368,505,"But to answer your question, they did nothing to me. It is just colorful commentary. I used to use this analyticskill for evil, though.
",,,,,,,,,,,,,"but to answer ur question, they did nothing to me...its just color commentary, I use to use this Analyticskill for evil tho lbs
",,,,,,,,,,,,
369,506,"If you really love me and cared about me, you would have stayed  by my side, not turned your back on me and said lies about me
",3,5,1,1,5,2,2,5,1,4,3,1,"If you really love me an cared about me you would have stayed by my side not turn your back on me ansay false shit about me
",2,4,1,1,5,1,2,4,1,3,4,1
370,507,"In 2009, I was purposely rejecting girls because I knewI was doing too much..",,,,,,,,,,,,,In 09 I was purposely sending chicks off cuz I knewI was doing 2 much...,,,,,,,,,,,,
371,508,"Man, I hate that I got involved with these women. I choose to be a mother of my kids. There--selfish and bitter! Not at first,but yes, it came out
",,,,,,,,,,,,,"Man I hate I got involved with these women I choose to b a mother of my kids there selfish and bitter! Not at firstbut ya it came out!
",,,,,,,,,,,,
372,510,There's more than 30 women in Houston right now that are finally understanding thatthey don't have 'it' anymore,2,4,2,1,4,1,1,4,1,2,4,1,"Its 30+ chicks in Houston right now dats finally ""getting it"" in they head datthey aint got it anymore...",1,3,1,1,4,1,3,4,5,2,4,1
373,511,"I guess I will get a haircut tomorrow... I'm the worst at going to do thisduring the winter time
",,,,,,,,,,,,,I guess I will get a hair cut 2morrow...I'm the worse inthe winter time with this.,,,,,,,,,,,,
374,515,"Have you ever seen nonsense on the internet and wonder why people think they are so cool? I am probably a little harsh
",2,3,1,5,3,3,1,2,3,4,2,1,"U eva seen some ish someone Stunting on, on these internets and u think 2 ur self ""dats not fancy tho..""? I guess imma hater.",2,2,1,1,4,2,3,5,1,2,4,1
375,514,"So you're saying that if he cooks he is gay? There is no way to win, I'm confused. They are single because they are damaged goods.
",,,,,,,,,,,,,"den if he do cook he ghey? See no win...they confused B. Theysingle cuz they Damaged Goods.
",,,,,,,,,,,,
376,516,"Damn!  Who runs to his ex every time something goes wrong in his current relationship?Where do they do that
",2,2,2,2,3,1,1,3,3,2,4,1,"Damn who runs to there ex mate everytime sumthin goes wrong in yo current relationshipwhere they do dat at
",2,3,1,2,4,1,3,5,4,3,4,1
377,517,"I'm living and learning that life is full of life lessons, and I will never go down this road again. Being an upstandingcitizen gets me no where
",3,4,2,4,4,1,1,3,1,4,1,1,"Im living and learning life is full of life lessons and i will neva go down this rode again being a goodnigga gets me no where
",2,4,1,1,4,1,3,4,4,2,4,1
378,518,"That would fall into HIS problem... I'm more-so wondering why women view it so negatively... othan than the pictures look funny
",1,1,3,1,3,1,3,4,3,1,4,1,"that would fall into HIS problem..I'm more so wondering why woman view it sonegativity...other than Pictures look funny
",1,1,3,2,3,2,3,4,4,1,4,1
379,519,"I don't know why her little self thinks she's so big and bad.  But I'll bring you back back down to reality baby
",1,4,2,1,5,1,1,5,1,3,5,1,"Idk why her lil ass think she so big and bad.. But I'll cut youback down to size baby
",1,2,1,1,5,1,1,4,2,3,4,1
380,520,"I am going to place an order for that one time and then I'll call back and tell them. I did not like that at all
",,,,,,,,,,,,,"maaaan imma order dat shitfor ONE wkend den call back and sayI didn't like it lol
",,,,,,,,,,,,
381,522,"Are you asking about my weight? That's my old number. It was when I was high.
",2,2,4,5,1,2,2,1,2,4,2,1,"as in Weight??? Sheeeid dats my old playing weight. And apparently Iwas ""cracked out"" den lol
",2,2,1,5,4,1,4,3,2,2,4,1
382,528,"That is some crazy team! I see the Zillow emails too; it isonly in pockets of the city.
",,,,,,,,,,,,,"dats some foogazy ish team! I see dem Zillow emails to...itsonly pockets of the city.
",,,,,,,,,,,,
383,527,"I always expect the worst, and hope for the best... That's the easiestway to NOT be disappointed.
",3,2,2,5,1,3,1,1,1,4,2,2,"I always expect the worst and hope for the best.. The easiestway to NOT be disappointed
",3,3,3,5,1,2,1,1,1,4,1,1
384,531,"I don't need to feel any type of way because I'm an asshole...That's just in my nature
",2,2,1,1,4,2,1,5,1,3,4,1,"I don't never feel no type of way because I'm an asshole..That's just in my nature
",1,1,2,1,4,1,1,5,1,3,4,1
385,533,"I knew the value of friendship before joining our group, butI never have the words to describe it
",4,3,2,5,1,2,1,1,1,5,1,1,"I totally knew the value of friendship before I was the bruhz tho...justdidn't have words for it.
",4,3,2,5,1,2,2,1,1,4,2,1
386,535,"When a man moves into a woman's house, the first time he says, \""This is my place\"" makes me laugh every time
",3,2,3,3,1,3,1,3,1,4,2,1,"That moment a guy moves into a chicks house and 1st time he says ""Mycrib"" makes me laugh everytime.",2,2,3,2,1,1,3,4,1,3,3,1
387,534,"She said \""You are about to miss church\"" while we were sleeping together.I can't finish until my sundae has a cherry on top
",2,3,2,4,3,2,3,5,2,2,4,1,"She said ""You bout to miss church."" while she riding me. I said I like my sundae'swith a cherry on top!
",2,3,1,4,5,2,3,4,1,4,5,1
388,536,"They can't get the job they want due to criminal and drug checks. They dont' have the perseverance toget the jobs that are available.
",,,,,,,,,,,,,"Can't get the job they WANT due to criminal and drug checks...don't have the perseverance toget the jobs dats available.
",,,,,,,,,,,,
389,538,"When I'm driving down the avenue these bitches give me attitude. They are screaming\""Charles we are mad at you!\
",,,,,,,,,,,,,"When I'm riding down the avenue.. These bitches give me attitude, they screaming""Charles we mad at you!""
",,,,,,,,,,,,
390,540,"I don't know how much I can take anymore. I give you all I gotuntil there is no more!
",,,,,,,,,,,,,"Idk how much I could take no more.. I give you all I gottil it ain't no more!
",,,,,,,,,,,,
391,542,"I am wearing two necklaces but they are not in charge of me. I have dreams.I am not from Philly
",,,,,,,,,,,,,I got on 2 chains.. But I ain't Tity Boi! Imma dream chaser butI ain't from Philly boy,,,,,,,,,,,,
392,544,"More than one person can play that game. I would win
",2,4,1,5,2,2,1,1,1,4,2,1,But fuck it 2 can play that game.. But I thinkI would play it better,2,4,2,1,5,1,2,5,1,3,4,2
393,545,"I hate that cancer shit. I’m not sensitive. I’m justinto my feelings a lot.
",2,1,2,1,5,1,1,5,1,3,4,1,"I hate that cancer shit.. I'm not sensitive, I just bein my feelings a lot
",3,3,1,1,5,2,1,4,1,3,4,1
394,547,"Which one of you?  Which one of you?  Which one ofyou going home with Moody
",3,2,1,1,5,1,5,5,1,2,4,1,"Which one of y'all.. which one of y'all? Which one ofy'all going home with Moody?!
",1,3,1,4,5,1,2,5,1,2,5,1
395,549,"I was the opposite. I got three episodes in before I realized the girl’s apartment was outside Dionysus. Good show.
",,,,,,,,,,,,,I was the opposite. I got 3 episodes in before I realized the gitls aptwas outside dionysus. Good show.,,,,,,,,,,,,
396,550,"I went to go for a run, and went right back inside. Not because of the rain, but because of the wind
",3,2,5,5,1,2,1,1,1,4,2,3,"I went to go run and went right back inside. Not because ofthe rain but the wind.
",3,1,3,5,1,2,1,1,1,4,3,4
397,551,"Hi Tweety Birds, the Nazarene MBC Youth had an awesome musical last night! You should go!God bless you
",2,2,4,5,1,1,1,1,1,3,1,1,"Hi my Tweety Birds, Nazarene mbc Youth were Awesome last nite at there midnite musical,Go ya'll&God bless u:-) :-) :-)
",2,3,1,4,1,2,3,2,1,4,2,1
398,553,"They think they are about to stay up all night long.I bet they will be asleep within the next ten minutes.
",,,,,,,,,,,,,* mfs talmbout they about to pull an allnighter knowing they finna besleep in 10 minutes .,,,,,,,,,,,,
399,552,"If you go out to watch the movie, Snitch, starring The RockThen you're a rat
",3,5,1,2,3,1,1,5,1,4,5,1,"If You Go See That Movie Snitch With The Roc InIt You A MF SNITCH!!!!!!!
",1,2,1,1,5,1,2,5,1,3,4,1
400,555,"I will do anything for the people I consider my best friends. Some of them are Brudda, Diary, my other half, and even more. I have room for more.I'd love for you to join my team as soon as posssible
",3,4,1,5,2,2,1,1,1,4,2,1,"I RIDE FOR ANY NIGGAH I CALL BEST FRIEND . BRUDDA . DIARY . OTHA HALF . ETC . IF U AINT ONE OF DEM I THINK U NEED TO GETON MY TEAM ASAP RNS
",2,4,1,1,5,1,3,5,1,2,5,1
401,556,"I hope she screenshot everything because like I said I was just playing the role.
",3,2,5,4,1,3,1,1,1,4,1,1,"I hope she screenshot everything because like I said I wasjust playing the role
",3,1,3,5,2,3,1,1,1,4,2,1
402,557,"Why do black people think you will remember a person if you say their name twice? \""You remember Johnny?\"". No, just black people do.
",1,2,2,1,4,1,5,4,2,2,5,1,"Why do black people think you'll remember a person if they say a name twice? ""You rememberJohnny?"" ""No just black people
",2,2,2,1,5,1,4,5,2,2,5,1
403,558,"So, Bob, are you with that shit? I am laughing like shit! If you fuck with bony-back-ass Lesha beforeyou fuck with me, then respect
",2,4,1,1,5,1,3,5,2,2,5,1,"Soo bob are you with that shit? Lls! You fuck with Boney back ass Iesha beforeyou fuck with me? Respect
",1,4,1,1,5,1,3,5,2,2,5,1
404,559,"I want to lick you from your head to your toes.  But I'm lying. I hate feet, so I'll lick from your head to you know where
",2,3,2,1,5,2,2,5,2,3,4,1,"I wanna lick you from your head to your toes but I'm lying I hate feet so I'll lick fromyour head to you know
",2,3,1,1,4,1,4,5,3,3,4,1
405,561,"I can't believe that we had such a big lead, but let them come backlike this. The Ravens need to do better
",3,4,1,5,3,3,1,1,1,4,1,1,"Omg we had them beat an we let them come backlike this come on ravens
",2,4,1,3,4,2,1,3,1,3,3,1
406,560,"I need to wake up and go to church so I can ask for forgiveness.I need forgiveness for everything I did last night.
",2,4,1,5,2,1,2,1,1,3,1,1,"Had to get up and go to Church, gotta get all the sinningfrom last night off lol
",2,2,2,4,5,1,3,5,1,2,5,2
407,564,"Yeah, last year they had to drill up my nose and I hadblack eyes and so on.  It was unbelievable
",2,3,1,5,1,1,2,2,1,3,4,1,"yeah last year they have to drill up my nose and I will haveblack eyes and shit smh
",1,2,1,1,4,1,3,5,4,2,5,1
408,566,"One day I was babysitting my little cousin and Jason played tug of war with her. She was stronger than he expected.
",3,4,2,5,1,1,1,1,1,3,2,1,"One day I was babysitting my Lil cousin and Jason was playing tug of war with her... Shewas stronger than he expected.....
",2,4,3,5,2,2,1,1,1,3,2,1
409,568,"Taking vitamins to be natural... Obviously it's not natural if youare taking vitamins to get it
",2,2,3,5,1,2,1,1,5,3,4,2,"Taking vitamins to be natural.. Obviously it's not natural if youtaking vitamins to get it
",3,4,2,5,1,2,1,1,4,3,4,1
410,569,"One day only sale - everything is 50% off. Cover graphics, promotions, studio time, let me know what kind of quote you want!Send me a message to work out a deal",2,4,1,4,1,2,2,2,1,4,2,2,"Today only everything half off COVER GRAPHICS.. PROMOTIONS ..STUDIO TIME .. For Pricing In YourDM Let's Make This Bread
",2,3,1,4,2,2,1,1,1,4,2,1
411,570,"I'm glad I rushed to the liquore store the day before my family came for Thanksgiving so that I am able to stand having themat my home throughout the day
",2,4,3,3,1,1,2,1,1,3,2,1,"Happy rushing to the liquor store the day before all your family shows up for thanksgiving so you can make itthrough the day day :-D
",3,5,1,2,2,1,1,2,1,4,2,5
412,571,"The Baltimore Orioles have won the game.  Lets see if they can continue the streak at homeover the next three games
",3,4,2,5,1,4,1,1,1,4,2,1,"The Birds get the W! Now let's see if we can do the same at homewith the next three games.
",5,4,2,5,2,5,1,1,1,4,1,1
413,573,"I am about to go out and try to find some food and beverages. I wish I could meet you.I could go for a drink right now
",2,3,1,5,1,2,1,1,1,4,2,4,"at this rec looking for food n sips"" I wish Icould come out for sips
",2,1,4,5,1,2,3,2,1,5,1,1
414,572,"A white lady was literally leaning on the black postal lady. I’m shaking my head. I thoughtI had to record it.
",2,2,3,1,4,1,1,5,2,4,4,1,"White lady was straight leanin on the black postal lady smh thoughtI had to record it
",1,2,1,1,5,1,4,5,3,1,5,2
415,574,"I am sipping now on my boo's cooking so I will tell you aboutSpecial Victims Unit. Go have fun, boo
",,,,,,,,,,,,,"I'm sippin now n my boo cookin so I will tell u aboutSVU go have fun boo
",,,,,,,,,,,,
416,575,"It amazes me how people won't even have a Twitter, but willknow everything that's going on
",,,,,,,,,,,,,"It amazes me how ppl won't even have a twitter but willknow everything that's going on!
",,,,,,,,,,,,
417,577,"My day is going the opposite way. I just jumped out of the car with it in Drive
",,,,,,,,,,,,,"My day going the opposite way I just jumped out thecar with it in drive""
",,,,,,,,,,,,
418,578,"Big ones too.\"" So, you think you are better than me, huh! I'mcoming through, shining, on you all
",2,5,1,1,4,1,2,5,2,3,3,1,"big ones too"" so u think u better then me huh! I'mcome through shining on y'all
",3,4,1,1,4,2,2,5,1,3,3,1
419,579,"If you start to feel stressed out in your chest, thinking that youare about to lose, it's true
",2,4,1,3,3,2,1,1,1,4,2,1,"If you get to feeling stressed up in your chest thinking youabout to lose! It's true
",3,4,1,3,4,1,1,1,1,3,2,1
420,580,"If I don't like you then that says a lot about you! Because I get along with everyone.
",2,1,3,2,4,1,1,5,3,3,4,1,"If I don't like you then that's says a lot about you! CauseI get alone with everybody
",2,2,4,2,4,1,1,4,1,3,4,1
421,581,"No, you should only need a wash and a style and it should beplenty! Do you like it
",2,1,3,5,1,1,2,1,2,3,3,1,"no u should only need a wash & style and it should bemuch! Do u like it?
",1,2,2,4,2,2,3,2,5,2,5,4
422,583,"If you think I was upset when I heard about that other girlI already knew about it
",,,,,,,,,,,,,"If you think I caught a feelin' when I heard about that other chickI already knew about it!
",,,,,,,,,,,,
423,582,"I want to try a milkshake  so bad, but too scared I'm going to be addicted to yesgod.  They are the devil
",1,3,1,4,5,1,4,5,1,3,5,1,"I wanna try a caramel frappe so bad, scared imma be addicted too"" yessgawd!! They are the devil
",2,4,1,2,5,1,1,5,2,3,4,1
424,586,"Unless we know them, these women owe us nothing other than that it'sYOUR man that is wrong. Right
",,,,,,,,,,,,,"These females owe us no loyalty unless we kno them other then that it'sYOUR MAN THATS WRONG Right
",,,,,,,,,,,,
425,587,"My boyfriend has been spending time with another girl and she's taking him away from me. He is mine and I'm not threatened by her
",,,,,,,,,,,,,"Well my boyfriend girlfriend has been takin him away from me ""no minessssher lil ugly ass ""
",,,,,,,,,,,,
426,588,"Mike just bit me in the face and is acting really goofy. I asked him to come and pick up his son. He said he is on his way.
",,,,,,,,,,,,,"Mike just bit me in the face, he acting real goofy""o yea tell him come get his son ""ard he said he coming
",,,,,,,,,,,,
427,590,"I don't like carrying an umbrella. This rain is cold
",3,2,1,5,1,3,1,1,1,4,2,4,"I don't like carrying umbrellas I rather just ... But this rain cold !out there !"" Yes gawd
",2,3,1,4,5,1,4,5,2,2,4,4
428,591,"\""That rain is very inconvenient.\""  Yes, it is.  \""I just wish it would stop.\""You aren't the only one
",3,2,4,5,1,2,1,1,1,5,2,1,"That Rain In Da Fuccin Way"" yes it is"" I Just Wish It Stop""u ain't the only 1",2,3,1,1,5,1,2,5,2,3,4,1
429,592,"You didn't even say hi to me.  Dead fucking last I know a man's a little busy.I've come to pass through
",1,3,1,2,5,1,1,5,1,3,4,1,"You didn't even holla at a real nigga ....dfl"" I know mannn a lil busy !! LolI'm come pass tomar though!
",2,3,1,4,5,2,3,5,1,4,5,4
430,594,"If something happens to me, I just want to say that my life has been threatened.It has happened a few times this month
",3,4,2,5,2,2,1,1,1,5,1,1,"I just want to say that if something happens to me, know that my life has beenthreatened several times this month.
",3,4,2,5,2,2,1,1,1,4,1,1
431,595,"He has all his weapons now.  The bye week is over.  Tom Brady, #12,and also the Patriots defense",3,4,2,5,1,3,1,1,1,5,1,1,"he has all his weapons now, the bye week is over. TB12and also the pats D.",3,4,2,5,1,2,1,1,1,4,1,1
432,597,"Everyone puts everything on Twitter. You are taking your last breath while Tweeting out\""RIP to me everyone\""
",,,,,,,,,,,,,"y'all fuckers put everything on twitter , you taking yo last breathes updating a tweet saying""r.i.p to me y'all ""
",,,,,,,,,,,,
433,596,"I just saw an Andre Williams highlight from a different game. How is he different from hiscontemporaries? Please tell me, sir
",3,4,2,5,1,2,1,1,1,4,1,1,"just saw a Andre Williams highlight from different game. How is he different from hiscontemporaries? Please school me sir.
",4,4,3,5,1,2,1,1,1,4,1,1
434,598,"You are a piece of trash. Please stop acting like you are better than me.I can't handle being treated like that
",1,2,1,1,4,1,1,5,1,2,5,1,"You Eat Dicks For A Living, Talking Bout Don't Drink OutMy Bottle Cant Zeal
",2,3,1,1,5,1,4,5,2,3,5,1
435,599,"If he broke up with you then he is no longer interested. He changed his number so he could talk to other women.He is no longer interested and you need to accept that
",,,,,,,,,,,,,"If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still meanshe dnt want u! dumbass
",,,,,,,,,,,,
436,601,"I have always acted the same! I never changed how I acted and some people love me for it, and others stopped bothering me because of it. Either waythe truth is I've always been the same
",,,,,,,,,,,,,"I always been the same ! I never changed .. People love me for it , and others stopped messing with me because it eitherway ! Truth was me
",,,,,,,,,,,,
437,600,"I'm not checking my timeline on Twitter anymore.  All of you talk about some of the dumbeststuff and everybody's a deep thinker
",2,1,3,5,4,1,1,3,4,4,5,1,"I'm not check my TL no more, y'all talk about some of the dumbeststuff and everybody DEEP THINKERS
",1,1,3,5,4,1,2,5,4,2,4,1
438,604,"Is it possible there is a new Champion?The title would fit Big Shows well
",3,4,2,5,1,4,1,1,1,4,1,1,"Could we be looking at a new Champion. The title would lookgood on Big Shows shoulder.
",3,4,2,5,1,4,1,1,1,4,1,1
439,605,"Let's go to the country. I can't wait to see what kind of outfit Santino will be in.I wonder what Khali will wear
",,,,,,,,,,,,,"goes country.. I can't wait to see what kind of outfit santinoand khali will appear in.
",,,,,,,,,,,,
440,606,"So Goldberg Jr. has a challenge for anyone on the roster. He can wait to see who accepts the challenge.
",2,4,1,5,3,1,1,1,1,4,2,1,"So Goldberg jr. Has a challenge for anyone on the roster can wait tosee who accepts the challenge
",2,4,2,1,5,1,1,5,1,3,3,2
441,607,"I'm not going to let her get to me.I'm going to change up the recipe
",3,4,4,5,1,2,1,1,1,3,2,1,"MerrillHood Nigga Ah Bitch Cant Get the Rest Of Me Acky Nd The kitchen Ad HeFlipping Up The recipe .......
",1,2,1,1,5,1,4,5,3,1,5,2
442,608,"I'm singing.  An erection in the morning makes me feel fine.  Damn it, I forgot the words.Ha, ha.  Good morning, then.  Ha, ha
",2,3,3,2,4,1,4,4,4,3,5,2,"*singing* morning wood makes me feel fine-ine...... damn I forgot the wordslol Good morning then lol
",1,2,1,4,3,1,5,4,5,2,5,1
443,609,"They say you can't turn a bad girl good because when a good girl turns bad, she's gone forever. Now, I have to live with the fact that Idid her wrong..
",2,3,2,2,4,2,1,2,2,4,1,1,"They say you cant turn a bad gurl good cuz when a good gurl turns bad shes gone forever. Now I gotta live wit the fact Idid her wrong f ...
",2,3,1,1,4,1,4,5,2,3,4,1
444,611,"Psalm 40:9. \""I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.\",3,4,3,5,1,3,1,1,1,5,1,1,"Pro 40:9 I have preached righteousness in the great congregation: lo, I have not refrained mylips, O LORD, thou knowest.",3,5,2,4,1,2,1,1,1,5,1,1
445,612,"You can call me ugly and I still would not give a fuck because that is dumb as fuck!
",1,5,2,1,4,2,3,5,4,3,5,1,"Yhu can call me ugly ' & i still wouldnt give af ' cause thata be dumb af !
",2,4,1,1,5,1,3,5,4,2,5,1
446,610,"I changed lanes and the police tried to follow me, but I was able to evadethem. I'm laughing and I partied tonight
",1,3,2,2,4,1,3,1,2,2,5,1,"Changing lanes the opps tryna catch me im ghost on theyass lmao over turnt tonight
",2,3,1,1,5,1,4,5,2,3,5,1
447,613,"Can you believe that this morning I felt fine, but now I don't feel good atall. I hate being sick
",3,2,1,5,1,2,1,1,1,4,3,1,"Ok so this morning I was fine but I don't feel good atall I hate being sick.
",2,4,1,5,1,2,1,1,1,4,3,1
448,615,"I saw them by the bridge last night. There were six buses. I hope the damage wasn't too bad
",2,1,4,5,1,2,1,1,1,3,3,1,I saw them by bridge street last night. 6 buses. And Ihope it ain't too ugly,1,3,1,4,1,1,4,4,1,2,5,1
449,614,"I'm really trying to attend an Auburn University game before the season is over.  University of Georgia, hopefully, because I can'tafford tickets for the damned Iron Bowl
",3,4,2,4,3,1,1,2,1,4,3,3,"I'm really trying to make an AU game before the season is over. UGA hopefully cause I can'tafford no damn iron bowl
",2,5,1,4,3,2,2,3,1,3,3,4
450,617,"No, fuck Bama. Baylor needs to lose and I don’t know why Oregon is even still up there.
",1,4,1,1,4,1,2,5,1,3,4,1,"naw fuck bama. Baylor need to lose and I don't know why Oregonis still even up there
",2,3,1,1,4,1,3,4,2,2,4,1
